단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
189980,KR7189980006,흥국에프엔비,ST,3.0,1009,1019,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1622,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,77223,100,20150807,40137,4013782700,12,,0,,N,N,496,50,52,41,8,20250630.0,651,,N,N,N
190510,KR7190510008,나무가,ST,2.0,1009,1028,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,17440,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,147614,500,20151112,14334,8337931500,12,,0,,N,N,2511,171,149,125,15,20250630.0,2500,,N,N,Y
190650,KR7190650002,코리아에셋투자증권,ST,3.0,1014,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,6640,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,6756,5000,20191120,6388,31940000000,3,,0,,N,N,2685,103,111,77,8,20250331.0,424,,N,N,N
191410,KR7191410000,육일씨엔에쓰,ST,3.0,1009,1028,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1373,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,15496,500,20151224,11204,5602127500,12,,0,,N,N,269,-1,-9,-19,-16,20250630.0,153,,N,N,N
191420,KR7191420009,테고사이언스,ST,3.0,1009,1024,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,17050,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,6374,500,20141106,8108,4054417000,12,,0,,N,N,29,-14,-10,-10,-4,20250630.0,1382,,N,N,N
192250,KR7192250009,케이사인,ST,3.0,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,10980,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,31993,1000,20140428,7067,7067125000,12,,0,,N,N,194,-16,-12,-17,-2,20250630.0,775,,N,N,N
192390,KR7192390003,윈하이텍,ST,3.0,1009,1026,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2185,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,27806,500,20140725,11032,5516114500,12,,0,,N,N,413,-13,-30,-32,-8,20250630.0,241,,N,N,N
192410,KR7192410009,오늘이엔엠,ST,3.0,1009,1028,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,Y,N,N,N,N,N,1683,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,401738,100,20140814,46661,4666157300,12,,0,,N,N,72,-17,-550,-551,-1493,20250630.0,785,,N,N,N
192440,KR7192440006,슈피겐코리아,ST,3.0,1009,1031,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,22100,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,3340,500,20141105,6216,3108181500,12,,0,,N,N,2048,102,93,64,3,20250630.0,1373,,N,N,N
193250,KR7193250008,링크드,ST,3.0,1009,1028,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,433,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,91963,100,20141229,63323,6332337700,12,,0,,N,N,50,-34,-117,-115,-41,20250630.0,274,,N,N,N
